,Electricity (%_elec),Space Heating (%_sh),Passanger mobility (%_pass),Freight mobility (%_freight),PV,Wind_onshore,Wind_offshore,Hydro_river,Solar
1,9.12370853310021e-05,0.00013126979432183372,5.874198171949529e-06,0.00011415525114155251,0,0.15775806,0.714385004,0.3680878367769806,0
2,7.14447100380509e-05,0.0001229615794913379,2.3496792687798115e-06,0.00011415525114155251,0,0.182757837,0.691529767,0.3678396962522921,0
3,5.280528864566e-05,0.0001279465083896354,1.1748396343899057e-06,0.00011415525114155251,0,0.192561759,0.729854676,0.36761064346027084,0
4,3.76247289549499e-05,0.00012960815135573456,1.409807561267887e-05,0.00011415525114155251,0,0.211292104,0.747714827,0.36736250293558237,0
5,3.10144599250711e-05,0.00013126979432183372,3.759486830047698e-05,0.00011415525114155251,0,0.290587612,0.578892867,0.36712390627722796,0
6,3.00536650079375e-05,0.00013293143728793287,9.398717075119246e-05,0.00011415525114155251,0,0.282846033,0.581104325,0.3668757657525387,0
7,3.15140732819805e-05,0.00013459308025403203,0.0001821001433304354,0.00011415525114155251,0,0.241476691,0.768362117,0.3666276252278494,0
8,2.29822144178346e-05,0.00013625472322013118,0.00015860335064263727,0.00011415525114155251,0,0.288589857,0.863303847,0.366379484703161,0
9,2.38277139449121e-05,0.00013625472322013118,0.00014685495429873823,0.00011415525114155251,1.28606e-05,0.409847128,0.884049424,0.36613134417847176,0
10,2.89391429040626e-05,0.00013293143728793287,0.0001644775488145868,0.00011415525114155251,0.031775999,0.446926976,0.905346111,0.36588320365378335,0
11,4.27361579141004e-05,0.00012960815135573456,0.00018797434150238492,0.00011415525114155251,0.128566676,0.426951653,0.926618225,0.3656541508617629,0
12,5.68790590943063e-05,0.00012462322245743708,0.00020677177565262342,0.00011415525114155251,0.253755299,0.385562267,0.893509548,0.3654060103370736,0
13,6.55262133485083e-05,0.00012129993652523877,0.00018797434150238492,0.00011415525114155251,0.321705626,0.369658177,0.853025835,0.36516741367871924,0
14,6.61795538921591e-05,0.00012129993652523877,0.00019032402077116473,0.00011415525114155251,0.291044213,0.437152008,0.855676074,0.36491927315402994,0
15,6.10681249330086e-05,0.00012129993652523877,0.00021382081345896285,0.00011415525114155251,0.184217115,0.457973648,0.82204437,0.36467113262934153,0
16,5.97614438457069e-05,0.0001229615794913379,0.00022321953053408208,0.00011415525114155251,0.088006022,0.453537162,0.814725498,0.36442299210465223,0
17,6.4373259447948e-05,0.0001279465083896354,0.00022321953053408208,0.00011415525114155251,0.014028355,0.508665847,0.87808551,0.36417485157996304,0
18,8.79319508160627e-05,0.00013293143728793287,0.0001644775488145868,0.00011415525114155251,0,0.620885337,0.925807357,0.36392671105527463,0
19,9.58873327299285e-05,0.00013957800915232954,0.00011748396343899057,0.00011415525114155251,0,0.713944642,0.929387812,0.36367857053058533,0
20,9.32355387586399e-05,0.00013791636618623037,8.811297257924293e-05,0.00011415525114155251,0,0.775886184,0.929387812,0.3634590616048989,0
21,8.51648614547181e-05,0.000144562938050627,5.874198171949529e-05,0.00011415525114155251,0,0.782732448,0.929387812,0.36321092108021047,0
22,7.64024118104601e-05,0.0001462245810167262,3.759486830047698e-05,0.00011415525114155251,0,0.826034957,0.935478096,0.3629627805555213,0
23,9.23900392315624e-05,0.00014788622398282533,2.3496792687798115e-05,0.00011415525114155251,0,0.853266341,0.935123561,0.36271464003083276,0
24,9.26206300116744e-05,0.00015120950991502364,9.398717075119246e-06,0.00011415525114155251,0,0.866159322,0.929387812,0.36246649950614346,0
25,6.64485764689565e-05,0.00015951772474551946,5.874198171949529e-06,0.00011415525114155251,0,0.862749552,0.929387812,0.36221835898145505,0
26,4.76938596865095e-05,0.00016782593957601524,2.3496792687798115e-06,0.00011415525114155251,0,0.878083491,0.919359028,0.36197021845676586,0
27,3.25132999957994e-05,0.00017613415440651106,1.1748396343899057e-06,0.00011415525114155251,0,0.888571149,0.905633951,0.3617220779320766,0
28,2.37508503515414e-05,0.0001794574403387094,1.409807561267887e-05,0.00011415525114155251,0,0.882831779,0.886910278,0.361502569006391,0
29,2.56724401858085e-05,0.00018444236923700685,3.759486830047698e-05,0.00011415525114155251,0,0.862751779,0.919738135,0.36125442848170175,0
30,4.09682952665747e-05,0.00018942729813530435,9.398717075119246e-05,0.00011415525114155251,0,0.823997114,0.921177338,0.3610062879570125,0
31,7.11756874612535e-05,0.00019275058406750266,0.0001821001433304354,0.00011415525114155251,0,0.792491826,0.929682673,0.36075814743232404,0
32,9.32739705553253e-05,0.000196073869999701,0.00015860335064263727,0.00011415525114155251,0,0.754962094,0.927471216,0.3605100069076347,0
33,0.000117755025043888,0.000196073869999701,0.00014685495429873823,0.00011415525114155251,0,0.734278536,0.827186886,0.36026186638294627,0
34,0.000135279924332404,0.0001877656551692052,0.0001644775488145868,0.00011415525114155251,0.002387787,0.660758033,0.708168352,0.360013725858257,0
35,0.000142274511329136,0.00018610401220310602,0.00018797434150238492,0.00011415525114155251,0.024310843,0.544810291,0.540599551,0.3597655853335686,0
36,0.000149153802935813,0.0001794574403387094,0.00020677177565262342,0.00011415525114155251,0.057986783,0.455630685,0.887903679,0.3595460764078822,0
37,0.000148692621375589,0.00016782593957601524,0.00018797434150238492,0.00011415525114155251,0.112998477,0.422218956,0.913963774,0.3592979358831929,0.064570558
38,0.000146578872557895,0.0001628410106777178,0.00019032402077116473,0.00011415525114155251,0.190313902,0.470390019,0.921868857,0.3590497953585045,0.078607916
39,0.000141083125631891,0.00015453279584722198,0.00021382081345896285,0.00011415525114155251,0.199906203,0.431492815,0.928201348,0.3588016548338153,0.495069724
40,0.000143581192416438,0.00015951772474551946,0.00022321953053408208,0.00011415525114155251,0.11912613,0.405911751,0.933080595,0.35855351430912613,0.219038368
41,0.000147847121848511,0.00016782593957601524,0.00022321953053408208,0.00011415525114155251,0.019296062,0.407749151,0.933080595,0.3583053737844376,0
42,0.000177708627873022,0.00017281086847431275,0.0001644775488145868,0.00011415525114155251,0,0.406145602,0.931609801,0.3580572332597483,0
43,0.000179630217707289,0.0001777957973726102,0.00011748396343899057,0.00011415525114155251,0,0.417410535,0.92303075,0.3578090927350599,0
44,0.000163335135912704,0.00018111908330480854,8.811297257924293e-05,0.00011415525114155251,0,0.410989657,0.897297108,0.3575895838093735,0
