Category,Subcategory,parameter name,HOUSEHOLDS,SERVICES,INDUSTRY,TRANSPORTATION ,Units
Electricity,baseload,ELECTRICITY,15024.64583,15607.1538,42975.40259,0,[GWh]
Electricity,variable,LIGHTING,8090.193908,12262.7637,14172.73915,0,[GWh]
Mobility,passenger,MOBILITY_PASSENGER,0,0,0,220134.2832,[Mpkm]
